機車竊盜概況,發生數,破獲數,類別
107年 12月/ 花蓮縣 ,7,6,機車竊盜
107年 12月/ 澎湖縣 ,2,0,機車竊盜
107年 12月/ 基隆市 ,10,5,機車竊盜
107年 12月/ 新竹市 ,25,23,機車竊盜
107年 12月/ 嘉義市 ,6,7,機車竊盜
107年 12月/ 金門縣 ,0,1,機車竊盜
107年 12月/ 連江縣 ,0,0,機車竊盜
108年 1月/ 新北市 ,137,153,機車竊盜
108年 1月/ 臺北市 ,37,54,機車竊盜
108年 1月/ 桃園市 ,117,185,機車竊盜
108年 1月/ 臺中市 ,54,41,機車竊盜
108年 1月/ 臺南市 ,28,27,機車竊盜
108年 1月/ 高雄市 ,60,79,機車竊盜
108年 1月/ 宜蘭縣 ,2,7,機車竊盜
108年 1月/ 新竹縣 ,20,29,機車竊盜
108年 1月/ 苗栗縣 ,4,4,機車竊盜
108年 1月/ 彰化縣 ,19,25,機車竊盜
108年 1月/ 南投縣 ,15,18,機車竊盜
108年 1月/ 雲林縣 ,14,15,機車竊盜
108年 1月/ 嘉義縣 ,4,8,機車竊盜
108年 1月/ 屏東縣 ,11,12,機車竊盜
108年 1月/ 臺東縣 ,7,10,機車竊盜
108年 1月/ 花蓮縣 ,7,7,機車竊盜
108年 1月/ 澎湖縣 ,0,0,機車竊盜
108年 1月/ 基隆市 ,2,6,機車竊盜
108年 1月/ 新竹市 ,27,33,機車竊盜
108年 1月/ 嘉義市 ,7,6,機車竊盜
108年 1月/ 金門縣 ,0,0,機車竊盜
108年 1月/ 連江縣 ,0,0,機車竊盜
108年 2月/ 新北市 ,114,124,機車竊盜
108年 2月/ 臺北市 ,23,36,機車竊盜
108年 2月/ 桃園市 ,98,120,機車竊盜
108年 2月/ 臺中市 ,37,57,機車竊盜
108年 2月/ 臺南市 ,32,33,機車竊盜
108年 2月/ 高雄市 ,55,66,機車竊盜
108年 2月/ 宜蘭縣 ,7,6,機車竊盜
108年 2月/ 新竹縣 ,13,16,機車竊盜
108年 2月/ 苗栗縣 ,4,7,機車竊盜
108年 2月/ 彰化縣 ,9,12,機車竊盜
108年 2月/ 南投縣 ,12,9,機車竊盜
108年 2月/ 雲林縣 ,15,14,機車竊盜
108年 2月/ 嘉義縣 ,2,3,機車竊盜
108年 2月/ 屏東縣 ,27,22,機車竊盜
108年 2月/ 臺東縣 ,1,3,機車竊盜
108年 2月/ 花蓮縣 ,5,2,機車竊盜
108年 2月/ 澎湖縣 ,0,0,機車竊盜
108年 2月/ 基隆市 ,5,9,機車竊盜
108年 2月/ 新竹市 ,21,21,機車竊盜
108年 2月/ 嘉義市 ,0,2,機車竊盜
108年 2月/ 金門縣 ,0,0,機車竊盜
108年 2月/ 連江縣 ,0,0,機車竊盜
108年 3月/ 新北市 ,96,116,機車竊盜
108年 3月/ 臺北市 ,25,35,機車竊盜
108年 3月/ 桃園市 ,88,129,機車竊盜
108年 3月/ 臺中市 ,43,39,機車竊盜
108年 3月/ 臺南市 ,32,31,機車竊盜
108年 3月/ 高雄市 ,61,61,機車竊盜
108年 3月/ 宜蘭縣 ,11,13,機車竊盜
108年 3月/ 新竹縣 ,15,20,機車竊盜
108年 3月/ 苗栗縣 ,7,9,機車竊盜
108年 3月/ 彰化縣 ,17,20,機車竊盜
108年 3月/ 南投縣 ,8,9,機車竊盜
108年 3月/ 雲林縣 ,10,6,機車竊盜
108年 3月/ 嘉義縣 ,5,7,機車竊盜
108年 3月/ 屏東縣 ,25,22,機車竊盜
108年 3月/ 臺東縣 ,2,2,機車竊盜
108年 3月/ 花蓮縣 ,5,6,機車竊盜
108年 3月/ 澎湖縣 ,0,0,機車竊盜
108年 3月/ 基隆市 ,8,8,機車竊盜
108年 3月/ 新竹市 ,22,27,機車竊盜
108年 3月/ 嘉義市 ,3,2,機車竊盜
108年 3月/ 金門縣 ,1,2,機車竊盜
108年 3月/ 連江縣 ,0,0,機車竊盜
108年 4月/ 新北市 ,80,114,機車竊盜
108年 4月/ 臺北市 ,24,32,機車竊盜
108年 4月/ 桃園市 ,81,135,機車竊盜
108年 4月/ 臺中市 ,39,39,機車竊盜
108年 4月/ 臺南市 ,21,23,機車竊盜
108年 4月/ 高雄市 ,57,65,機車竊盜
108年 4月/ 宜蘭縣 ,8,6,機車竊盜
108年 4月/ 新竹縣 ,9,12,機車竊盜
108年 4月/ 苗栗縣 ,9,12,機車竊盜
108年 4月/ 彰化縣 ,11,13,機車竊盜
108年 4月/ 南投縣 ,18,14,機車竊盜
108年 4月/ 雲林縣 ,9,10,機車竊盜
108年 4月/ 嘉義縣 ,5,5,機車竊盜
108年 4月/ 屏東縣 ,18,19,機車竊盜
108年 4月/ 臺東縣 ,7,4,機車竊盜
108年 4月/ 花蓮縣 ,5,6,機車竊盜
108年 4月/ 澎湖縣 ,1,1,機車竊盜
108年 4月/ 基隆市 ,5,2,機車竊盜
108年 4月/ 新竹市 ,11,23,機車竊盜
108年 4月/ 嘉義市 ,2,2,機車竊盜
108年 4月/ 金門縣 ,0,0,機車竊盜
108年 4月/ 連江縣 ,0,0,機車竊盜
108年 5月/ 新北市 ,100,127,機車竊盜
108年 5月/ 臺北市 ,29,38,機車竊盜
108年 5月/ 桃園市 ,98,93,機車竊盜
108年 5月/ 臺中市 ,41,45,機車竊盜
108年 5月/ 臺南市 ,22,20,機車竊盜
108年 5月/ 高雄市 ,52,42,機車竊盜
108年 5月/ 宜蘭縣 ,10,12,機車竊盜
108年 5月/ 新竹縣 ,21,12,機車竊盜
108年 5月/ 苗栗縣 ,7,5,機車竊盜
108年 5月/ 彰化縣 ,15,14,機車竊盜
108年 5月/ 南投縣 ,8,6,機車竊盜
108年 5月/ 雲林縣 ,12,13,機車竊盜
108年 5月/ 嘉義縣 ,5,9,機車竊盜
108年 5月/ 屏東縣 ,15,16,機車竊盜
108年 5月/ 臺東縣 ,2,1,機車竊盜
108年 5月/ 花蓮縣 ,11,10,機車竊盜
108年 5月/ 澎湖縣 ,1,3,機車竊盜
108年 5月/ 基隆市 ,0,3,機車竊盜
108年 5月/ 新竹市 ,10,24,機車竊盜
108年 5月/ 嘉義市 ,1,2,機車竊盜
108年 5月/ 金門縣 ,2,2,機車竊盜
108年 5月/ 連江縣 ,0,0,機車竊盜
108年 6月/ 新北市 ,126,118,機車竊盜
108年 6月/ 臺北市 ,48,57,機車竊盜
108年 6月/ 桃園市 ,92,98,機車竊盜
108年 6月/ 臺中市 ,42,35,機車竊盜
108年 6月/ 臺南市 ,22,23,機車竊盜
108年 6月/ 高雄市 ,65,55,機車竊盜
108年 6月/ 宜蘭縣 ,12,8,機車竊盜
108年 6月/ 新竹縣 ,21,17,機車竊盜
108年 6月/ 苗栗縣 ,6,9,機車竊盜
108年 6月/ 彰化縣 ,15,14,機車竊盜
108年 6月/ 南投縣 ,15,8,機車竊盜
108年 6月/ 雲林縣 ,13,11,機車竊盜
108年 6月/ 嘉義縣 ,4,1,機車竊盜
108年 6月/ 屏東縣 ,14,17,機車竊盜
108年 6月/ 臺東縣 ,4,3,機車竊盜
108年 6月/ 花蓮縣 ,9,10,機車竊盜
108年 6月/ 澎湖縣 ,4,4,機車竊盜
108年 6月/ 基隆市 ,4,4,機車竊盜
108年 6月/ 新竹市 ,10,12,機車竊盜
108年 6月/ 嘉義市 ,6,6,機車竊盜
108年 6月/ 金門縣 ,0,0,機車竊盜
108年 6月/ 連江縣 ,0,0,機車竊盜
108年 7月/ 新北市 ,114,130,機車竊盜
108年 7月/ 臺北市 ,46,36,機車竊盜
108年 7月/ 桃園市 ,119,114,機車竊盜
108年 7月/ 臺中市 ,69,66,機車竊盜
108年 7月/ 臺南市 ,18,17,機車竊盜
108年 7月/ 高雄市 ,74,77,機車竊盜
108年 7月/ 宜蘭縣 ,10,14,機車竊盜
108年 7月/ 新竹縣 ,21,17,機車竊盜
108年 7月/ 苗栗縣 ,5,6,機車竊盜
108年 7月/ 彰化縣 ,22,24,機車竊盜
