機車竊盜概況,發生數,破獲數,類別
110年 12月/ 彰化縣 ,19,17,機車竊盜
110年 12月/ 南投縣 ,7,4,機車竊盜
110年 12月/ 雲林縣 ,4,2,機車竊盜
110年 12月/ 嘉義縣 ,4,3,機車竊盜
110年 12月/ 屏東縣 ,14,12,機車竊盜
110年 12月/ 臺東縣 ,1,2,機車竊盜
110年 12月/ 花蓮縣 ,3,4,機車竊盜
110年 12月/ 澎湖縣 ,0,0,機車竊盜
110年 12月/ 基隆市 ,9,4,機車竊盜
110年 12月/ 新竹市 ,9,5,機車竊盜
110年 12月/ 嘉義市 ,0,2,機車竊盜
110年 12月/ 金門縣 ,0,0,機車竊盜
110年 12月/ 連江縣 ,0,0,機車竊盜
111年 1月/ 新北市 ,64,63,機車竊盜
111年 1月/ 臺北市 ,4,15,機車竊盜
111年 1月/ 桃園市 ,29,44,機車竊盜
111年 1月/ 臺中市 ,48,57,機車竊盜
111年 1月/ 臺南市 ,15,15,機車竊盜
111年 1月/ 高雄市 ,31,36,機車竊盜
111年 1月/ 宜蘭縣 ,18,18,機車竊盜
111年 1月/ 新竹縣 ,5,9,機車竊盜
111年 1月/ 苗栗縣 ,7,10,機車竊盜
111年 1月/ 彰化縣 ,6,9,機車竊盜
111年 1月/ 南投縣 ,4,2,機車竊盜
111年 1月/ 雲林縣 ,8,5,機車竊盜
111年 1月/ 嘉義縣 ,3,2,機車竊盜
111年 1月/ 屏東縣 ,4,6,機車竊盜
111年 1月/ 臺東縣 ,5,5,機車竊盜
111年 1月/ 花蓮縣 ,8,5,機車竊盜
111年 1月/ 澎湖縣 ,0,0,機車竊盜
111年 1月/ 基隆市 ,7,10,機車竊盜
111年 1月/ 新竹市 ,3,1,機車竊盜
111年 1月/ 嘉義市 ,2,2,機車竊盜
111年 1月/ 金門縣 ,0,0,機車竊盜
111年 1月/ 連江縣 ,0,0,機車竊盜
111年 2月/ 新北市 ,53,64,機車竊盜
111年 2月/ 臺北市 ,16,15,機車竊盜
111年 2月/ 桃園市 ,37,49,機車竊盜
111年 2月/ 臺中市 ,37,45,機車竊盜
111年 2月/ 臺南市 ,31,27,機車竊盜
111年 2月/ 高雄市 ,19,32,機車竊盜
111年 2月/ 宜蘭縣 ,12,13,機車竊盜
111年 2月/ 新竹縣 ,4,5,機車竊盜
111年 2月/ 苗栗縣 ,12,8,機車竊盜
111年 2月/ 彰化縣 ,5,5,機車竊盜
111年 2月/ 南投縣 ,3,1,機車竊盜
111年 2月/ 雲林縣 ,7,10,機車竊盜
111年 2月/ 嘉義縣 ,2,2,機車竊盜
111年 2月/ 屏東縣 ,15,13,機車竊盜
111年 2月/ 臺東縣 ,2,3,機車竊盜
111年 2月/ 花蓮縣 ,5,4,機車竊盜
111年 2月/ 澎湖縣 ,1,0,機車竊盜
111年 2月/ 基隆市 ,4,2,機車竊盜
111年 2月/ 新竹市 ,10,9,機車竊盜
111年 2月/ 嘉義市 ,1,1,機車竊盜
111年 2月/ 金門縣 ,0,0,機車竊盜
111年 2月/ 連江縣 ,1,1,機車竊盜
111年 3月/ 新北市 ,45,54,機車竊盜
111年 3月/ 臺北市 ,20,29,機車竊盜
111年 3月/ 桃園市 ,41,47,機車竊盜
111年 3月/ 臺中市 ,28,32,機車竊盜
111年 3月/ 臺南市 ,19,24,機車竊盜
111年 3月/ 高雄市 ,19,22,機車竊盜
111年 3月/ 宜蘭縣 ,6,7,機車竊盜
111年 3月/ 新竹縣 ,12,13,機車竊盜
111年 3月/ 苗栗縣 ,4,4,機車竊盜
111年 3月/ 彰化縣 ,7,5,機車竊盜
111年 3月/ 南投縣 ,5,8,機車竊盜
111年 3月/ 雲林縣 ,10,10,機車竊盜
111年 3月/ 嘉義縣 ,3,3,機車竊盜
111年 3月/ 屏東縣 ,13,14,機車竊盜
111年 3月/ 臺東縣 ,7,7,機車竊盜
111年 3月/ 花蓮縣 ,10,9,機車竊盜
111年 3月/ 澎湖縣 ,1,1,機車竊盜
111年 3月/ 基隆市 ,5,3,機車竊盜
111年 3月/ 新竹市 ,5,5,機車竊盜
111年 3月/ 嘉義市 ,0,0,機車竊盜
111年 3月/ 金門縣 ,3,3,機車竊盜
111年 3月/ 連江縣 ,0,0,機車竊盜
111年 4月/ 新北市 ,67,83,機車竊盜
111年 4月/ 臺北市 ,34,39,機車竊盜
111年 4月/ 桃園市 ,28,33,機車竊盜
111年 4月/ 臺中市 ,34,38,機車竊盜
111年 4月/ 臺南市 ,17,16,機車竊盜
111年 4月/ 高雄市 ,30,33,機車竊盜
111年 4月/ 宜蘭縣 ,7,5,機車竊盜
111年 4月/ 新竹縣 ,6,10,機車竊盜
111年 4月/ 苗栗縣 ,6,5,機車竊盜
111年 4月/ 彰化縣 ,15,17,機車竊盜
111年 4月/ 南投縣 ,6,5,機車竊盜
111年 4月/ 雲林縣 ,8,6,機車竊盜
111年 4月/ 嘉義縣 ,4,5,機車竊盜
111年 4月/ 屏東縣 ,9,7,機車竊盜
111年 4月/ 臺東縣 ,5,6,機車竊盜
111年 4月/ 花蓮縣 ,9,7,機車竊盜
111年 4月/ 澎湖縣 ,2,2,機車竊盜
111年 4月/ 基隆市 ,6,5,機車竊盜
111年 4月/ 新竹市 ,11,10,機車竊盜
111年 4月/ 嘉義市 ,3,4,機車竊盜
111年 4月/ 金門縣 ,2,2,機車竊盜
111年 4月/ 連江縣 ,0,0,機車竊盜
111年 5月/ 新北市 ,50,57,機車竊盜
111年 5月/ 臺北市 ,29,29,機車竊盜
111年 5月/ 桃園市 ,47,40,機車竊盜
111年 5月/ 臺中市 ,45,51,機車竊盜
111年 5月/ 臺南市 ,14,17,機車竊盜
111年 5月/ 高雄市 ,32,32,機車竊盜
111年 5月/ 宜蘭縣 ,15,15,機車竊盜
111年 5月/ 新竹縣 ,16,12,機車竊盜
111年 5月/ 苗栗縣 ,5,4,機車竊盜
111年 5月/ 彰化縣 ,17,17,機車竊盜
111年 5月/ 南投縣 ,9,5,機車竊盜
111年 5月/ 雲林縣 ,6,7,機車竊盜
111年 5月/ 嘉義縣 ,1,1,機車竊盜
111年 5月/ 屏東縣 ,12,12,機車竊盜
111年 5月/ 臺東縣 ,6,8,機車竊盜
111年 5月/ 花蓮縣 ,9,9,機車竊盜
111年 5月/ 澎湖縣 ,1,1,機車竊盜
111年 5月/ 基隆市 ,2,1,機車竊盜
111年 5月/ 新竹市 ,11,7,機車竊盜
111年 5月/ 嘉義市 ,1,1,機車竊盜
111年 5月/ 金門縣 ,1,1,機車竊盜
111年 5月/ 連江縣 ,0,0,機車竊盜
111年 6月/ 新北市 ,81,75,機車竊盜
111年 6月/ 臺北市 ,34,34,機車竊盜
111年 6月/ 桃園市 ,52,57,機車竊盜
111年 6月/ 臺中市 ,38,40,機車竊盜
111年 6月/ 臺南市 ,10,12,機車竊盜
111年 6月/ 高雄市 ,36,32,機車竊盜
111年 6月/ 宜蘭縣 ,7,10,機車竊盜
111年 6月/ 新竹縣 ,20,17,機車竊盜
111年 6月/ 苗栗縣 ,5,6,機車竊盜
111年 6月/ 彰化縣 ,17,16,機車竊盜
111年 6月/ 南投縣 ,8,3,機車竊盜
111年 6月/ 雲林縣 ,14,14,機車竊盜
111年 6月/ 嘉義縣 ,2,0,機車竊盜
111年 6月/ 屏東縣 ,11,6,機車竊盜
111年 6月/ 臺東縣 ,5,4,機車竊盜
111年 6月/ 花蓮縣 ,10,8,機車竊盜
111年 6月/ 澎湖縣 ,2,2,機車竊盜
111年 6月/ 基隆市 ,15,13,機車竊盜
111年 6月/ 新竹市 ,10,11,機車竊盜
111年 6月/ 嘉義市 ,1,1,機車竊盜
111年 6月/ 金門縣 ,1,1,機車竊盜
111年 6月/ 連江縣 ,0,0,機車竊盜
111年 7月/ 新北市 ,69,81,機車竊盜
111年 7月/ 臺北市 ,31,32,機車竊盜
111年 7月/ 桃園市 ,66,77,機車竊盜
111年 7月/ 臺中市 ,34,31,機車竊盜
111年 7月/ 臺南市 ,15,15,機車竊盜
111年 7月/ 高雄市 ,33,35,機車竊盜
111年 7月/ 宜蘭縣 ,16,11,機車竊盜
111年 7月/ 新竹縣 ,15,10,機車竊盜
111年 7月/ 苗栗縣 ,5,7,機車竊盜
111年 7月/ 彰化縣 ,16,15,機車竊盜
111年 7月/ 南投縣 ,8,7,機車竊盜
111年 7月/ 雲林縣 ,13,12,機車竊盜
111年 7月/ 嘉義縣 ,7,5,機車竊盜
111年 7月/ 屏東縣 ,11,13,機車竊盜
111年 7月/ 臺東縣 ,2,1,機車竊盜
111年 7月/ 花蓮縣 ,4,3,機車竊盜
111年 7月/ 澎湖縣 ,1,0,機車竊盜
111年 7月/ 基隆市 ,12,5,機車竊盜
111年 7月/ 新竹市 ,6,7,機車竊盜
111年 7月/ 嘉義市 ,1,1,機車竊盜
111年 7月/ 金門縣 ,0,0,機車竊盜
111年 7月/ 連江縣 ,0,0,機車竊盜
111年 8月/ 新北市 ,76,87,機車竊盜
111年 8月/ 臺北市 ,24,25,機車竊盜
111年 8月/ 桃園市 ,64,63,機車竊盜
111年 8月/ 臺中市 ,27,34,機車竊盜
111年 8月/ 臺南市 ,16,14,機車竊盜
111年 8月/ 高雄市 ,52,53,機車竊盜
111年 8月/ 宜蘭縣 ,12,13,機車竊盜
111年 8月/ 新竹縣 ,14,16,機車竊盜
111年 8月/ 苗栗縣 ,13,11,機車竊盜
111年 8月/ 彰化縣 ,6,10,機車竊盜
111年 8月/ 南投縣 ,11,6,機車竊盜
111年 8月/ 雲林縣 ,7,6,機車竊盜
111年 8月/ 嘉義縣 ,5,5,機車竊盜
111年 8月/ 屏東縣 ,13,11,機車竊盜
111年 8月/ 臺東縣 ,13,6,機車竊盜
111年 8月/ 花蓮縣 ,22,16,機車竊盜
111年 8月/ 澎湖縣 ,0,1,機車竊盜
111年 8月/ 基隆市 ,14,18,機車竊盜
111年 8月/ 新竹市 ,19,10,機車竊盜
111年 8月/ 嘉義市 ,4,3,機車竊盜
111年 8月/ 金門縣 ,0,0,機車竊盜
111年 8月/ 連江縣 ,0,0,機車竊盜
111年 9月/ 新北市 ,55,61,機車竊盜
111年 9月/ 臺北市 ,20,20,機車竊盜
111年 9月/ 桃園市 ,40,40,機車竊盜
111年 9月/ 臺中市 ,32,36,機車竊盜
111年 9月/ 臺南市 ,14,11,機車竊盜
111年 9月/ 高雄市 ,33,29,機車竊盜
111年 9月/ 宜蘭縣 ,6,10,機車竊盜
111年 9月/ 新竹縣 ,9,6,機車竊盜
111年 9月/ 苗栗縣 ,11,10,機車竊盜
111年 9月/ 彰化縣 ,22,18,機車竊盜
111年 9月/ 南投縣 ,10,9,機車竊盜
111年 9月/ 雲林縣 ,7,7,機車竊盜
111年 9月/ 嘉義縣 ,5,4,機車竊盜
111年 9月/ 屏東縣 ,13,11,機車竊盜
111年 9月/ 臺東縣 ,9,10,機車竊盜
111年 9月/ 花蓮縣 ,11,10,機車竊盜
111年 9月/ 澎湖縣 ,0,0,機車竊盜
111年 9月/ 基隆市 ,5,4,機車竊盜
111年 9月/ 新竹市 ,10,14,機車竊盜
111年 9月/ 嘉義市 ,0,1,機車竊盜
111年 9月/ 金門縣 ,2,2,機車竊盜
111年 9月/ 連江縣 ,0,0,機車竊盜
111年 10月/ 新北市 ,56,53,機車竊盜
111年 10月/ 臺北市 ,17,14,機車竊盜
111年 10月/ 桃園市 ,49,54,機車竊盜
111年 10月/ 臺中市 ,57,52,機車竊盜
111年 10月/ 臺南市 ,21,17,機車竊盜
111年 10月/ 高雄市 ,53,56,機車竊盜
111年 10月/ 宜蘭縣 ,2,3,機車竊盜
111年 10月/ 新竹縣 ,24,14,機車竊盜
111年 10月/ 苗栗縣 ,10,11,機車竊盜
111年 10月/ 彰化縣 ,26,25,機車竊盜
111年 10月/ 南投縣 ,9,5,機車竊盜
111年 10月/ 雲林縣 ,10,7,機車竊盜
111年 10月/ 嘉義縣 ,5,8,機車竊盜
111年 10月/ 屏東縣 ,15,15,機車竊盜
111年 10月/ 臺東縣 ,4,8,機車竊盜
111年 10月/ 花蓮縣 ,9,9,機車竊盜
111年 10月/ 澎湖縣 ,1,1,機車竊盜
111年 10月/ 基隆市 ,2,3,機車竊盜
111年 10月/ 新竹市 ,9,7,機車竊盜
111年 10月/ 嘉義市 ,1,2,機車竊盜
111年 10月/ 金門縣 ,0,0,機車竊盜
111年 10月/ 連江縣 ,1,0,機車竊盜
111年 11月/ 新北市 ,69,68,機車竊盜
111年 11月/ 臺北市 ,17,33,機車竊盜
111年 11月/ 桃園市 ,61,56,機車竊盜
111年 11月/ 臺中市 ,38,43,機車竊盜
111年 11月/ 臺南市 ,13,14,機車竊盜
111年 11月/ 高雄市 ,31,32,機車竊盜
111年 11月/ 宜蘭縣 ,3,5,機車竊盜
111年 11月/ 新竹縣 ,22,13,機車竊盜
111年 11月/ 苗栗縣 ,7,5,機車竊盜
111年 11月/ 彰化縣 ,10,12,機車竊盜
111年 11月/ 南投縣 ,5,3,機車竊盜
111年 11月/ 雲林縣 ,8,9,機車竊盜
111年 11月/ 嘉義縣 ,7,5,機車竊盜
111年 11月/ 屏東縣 ,11,7,機車竊盜
111年 11月/ 臺東縣 ,4,3,機車竊盜
111年 11月/ 花蓮縣 ,10,10,機車竊盜
111年 11月/ 澎湖縣 ,1,1,機車竊盜
111年 11月/ 基隆市 ,11,7,機車竊盜
111年 11月/ 新竹市 ,15,19,機車竊盜
111年 11月/ 嘉義市 ,2,3,機車竊盜
111年 11月/ 金門縣 ,1,2,機車竊盜
111年 11月/ 連江縣 ,0,1,機車竊盜
111年 12月/ 新北市 ,49,45,機車竊盜
111年 12月/ 臺北市 ,15,24,機車竊盜
111年 12月/ 桃園市 ,43,42,機車竊盜
111年 12月/ 臺中市 ,45,38,機車竊盜
111年 12月/ 臺南市 ,20,17,機車竊盜
111年 12月/ 高雄市 ,32,22,機車竊盜
111年 12月/ 宜蘭縣 ,5,5,機車竊盜
111年 12月/ 新竹縣 ,8,4,機車竊盜
111年 12月/ 苗栗縣 ,7,6,機車竊盜
111年 12月/ 彰化縣 ,10,10,機車竊盜
111年 12月/ 南投縣 ,4,3,機車竊盜
111年 12月/ 雲林縣 ,6,7,機車竊盜
111年 12月/ 嘉義縣 ,4,4,機車竊盜
111年 12月/ 屏東縣 ,11,9,機車竊盜
111年 12月/ 臺東縣 ,8,6,機車竊盜
111年 12月/ 花蓮縣 ,8,9,機車竊盜
111年 12月/ 澎湖縣 ,0,0,機車竊盜
111年 12月/ 基隆市 ,0,2,機車竊盜
111年 12月/ 新竹市 ,20,13,機車竊盜
111年 12月/ 嘉義市 ,3,1,機車竊盜
111年 12月/ 金門縣 ,0,0,機車竊盜
111年 12月/ 連江縣 ,0,0,機車竊盜
