"","汽車竊盜概況",,單位：件 、人 
"107年 2月/ 金門縣 ","         －","         －","         －"
"107年 2月/ 連江縣 ","         －","         －","         －"
"107年 3月/ 新北市 ","        30","        41","         －"
"107年 3月/ 臺北市 ","        11","         8","         －"
"107年 3月/ 桃園市 ","        45","        48","         －"
"107年 3月/ 臺中市 ","         9","        13","         －"
"107年 3月/ 臺南市 ","         7","         8","         －"
"107年 3月/ 高雄市 ","        24","        29","         －"
"107年 3月/ 宜蘭縣 ","         4","         4","         －"
"107年 3月/ 新竹縣 ","        14","        16","         －"
"107年 3月/ 苗栗縣 ","         6","         6","         －"
"107年 3月/ 彰化縣 ","         7","        11","         －"
"107年 3月/ 南投縣 ","         9","         7","         －"
"107年 3月/ 雲林縣 ","         4","         6","         －"
"107年 3月/ 嘉義縣 ","         7","         8","         －"
"107年 3月/ 屏東縣 ","         8","         6","         －"
"107年 3月/ 臺東縣 ","         －","         －","         －"
"107年 3月/ 花蓮縣 ","         －","         －","         －"
"107年 3月/ 澎湖縣 ","         1","         1","         －"
"107年 3月/ 基隆市 ","         1","         2","         －"
"107年 3月/ 新竹市 ","         6","         1","         －"
"107年 3月/ 嘉義市 ","         3","         1","         －"
"107年 3月/ 金門縣 ","         －","         －","         －"
"107年 3月/ 連江縣 ","         －","         －","         －"
"107年 4月/ 新北市 ","        23","        38","         －"
"107年 4月/ 臺北市 ","         7","         8","         －"
"107年 4月/ 桃園市 ","        33","        33","         －"
"107年 4月/ 臺中市 ","        11","        12","         －"
"107年 4月/ 臺南市 ","         8","         7","         －"
"107年 4月/ 高雄市 ","        13","         8","         －"
"107年 4月/ 宜蘭縣 ","         7","         8","         －"
"107年 4月/ 新竹縣 ","        14","         9","         －"
"107年 4月/ 苗栗縣 ","         5","         9","         －"
"107年 4月/ 彰化縣 ","         8","         4","         －"
"107年 4月/ 南投縣 ","        10","         7","         －"
"107年 4月/ 雲林縣 ","         8","        12","         －"
"107年 4月/ 嘉義縣 ","         7","         6","         －"
"107年 4月/ 屏東縣 ","         －","         2","         －"
"107年 4月/ 臺東縣 ","         －","         1","         －"
"107年 4月/ 花蓮縣 ","         6","         1","         －"
"107年 4月/ 澎湖縣 ","         －","         －","         －"
"107年 4月/ 基隆市 ","         1","         2","         －"
"107年 4月/ 新竹市 ","         4","         2","         －"
"107年 4月/ 嘉義市 ","         1","         8","         －"
"107年 4月/ 金門縣 ","         －","         －","         －"
"107年 4月/ 連江縣 ","         －","         －","         －"
"107年 5月/ 新北市 ","        25","        23","         －"
"107年 5月/ 臺北市 ","         7","        10","         －"
"107年 5月/ 桃園市 ","        38","        32","         －"
"107年 5月/ 臺中市 ","        12","        24","         －"
"107年 5月/ 臺南市 ","         5","         7","         －"
"107年 5月/ 高雄市 ","        17","         8","         －"
"107年 5月/ 宜蘭縣 ","         6","         8","         －"
"107年 5月/ 新竹縣 ","        20","        18","         －"
"107年 5月/ 苗栗縣 ","         8","         9","         －"
"107年 5月/ 彰化縣 ","        12","        14","         －"
"107年 5月/ 南投縣 ","         9","         5","         －"
"107年 5月/ 雲林縣 ","         3","         5","         －"
"107年 5月/ 嘉義縣 ","         4","         3","         －"
"107年 5月/ 屏東縣 ","         5","         6","         －"
"107年 5月/ 臺東縣 ","         1","         1","         －"
"107年 5月/ 花蓮縣 ","         6","         8","         －"
"107年 5月/ 澎湖縣 ","         1","         1","         －"
"107年 5月/ 基隆市 ","         1","         2","         －"
"107年 5月/ 新竹市 ","         8","         5","         －"
"107年 5月/ 嘉義市 ","         3","         －","         －"
"107年 5月/ 金門縣 ","         －","         －","         －"
"107年 5月/ 連江縣 ","         －","         －","         －"
"107年 6月/ 新北市 ","        14","        16","         －"
"107年 6月/ 臺北市 ","        10","        14","         －"
"107年 6月/ 桃園市 ","        37","        27","         －"
"107年 6月/ 臺中市 ","         6","         6","         －"
"107年 6月/ 臺南市 ","         7","         6","         －"
"107年 6月/ 高雄市 ","        13","         9","         －"
"107年 6月/ 宜蘭縣 ","         2","         3","         －"
"107年 6月/ 新竹縣 ","        15","        12","         －"
"107年 6月/ 苗栗縣 ","         6","         5","         －"
"107年 6月/ 彰化縣 ","         8","         6","         －"
"107年 6月/ 南投縣 ","         5","        10","         －"
"107年 6月/ 雲林縣 ","         6","         6","         －"
"107年 6月/ 嘉義縣 ","         1","         －","         －"
"107年 6月/ 屏東縣 ","         9","         5","         －"
"107年 6月/ 臺東縣 ","         1","         1","         －"
"107年 6月/ 花蓮縣 ","         5","         3","         －"
"107年 6月/ 澎湖縣 ","         －","         －","         －"
"107年 6月/ 基隆市 ","         4","         5","         －"
"107年 6月/ 新竹市 ","        10","         6","         －"
"107年 6月/ 嘉義市 ","         2","         －","         －"
"107年 6月/ 金門縣 ","         －","         －","         －"
"107年 6月/ 連江縣 ","         －","         －","         －"
"107年 7月/ 新北市 ","        26","        23","         －"
"107年 7月/ 臺北市 ","         7","        10","         －"
"107年 7月/ 桃園市 ","        30","        24","         －"
"107年 7月/ 臺中市 ","        10","         7","         －"
"107年 7月/ 臺南市 ","        14","         8","         －"
"107年 7月/ 高雄市 ","        22","        12","         －"
"107年 7月/ 宜蘭縣 ","         9","         4","         －"
"107年 7月/ 新竹縣 ","        35","        28","         －"
"107年 7月/ 苗栗縣 ","         4","         8","         －"
"107年 7月/ 彰化縣 ","         7","        11","         －"
"107年 7月/ 南投縣 ","         4","         2","         －"
"107年 7月/ 雲林縣 ","         8","         7","         －"
"107年 7月/ 嘉義縣 ","         8","         5","         －"
"107年 7月/ 屏東縣 ","         2","         4","         －"
"107年 7月/ 臺東縣 ","         1","         2","         －"
"107年 7月/ 花蓮縣 ","         8","         7","         －"
"107年 7月/ 澎湖縣 ","         －","         －","         －"
"107年 7月/ 基隆市 ","         3","         3","         －"
"107年 7月/ 新竹市 ","        12","         7","         －"
"107年 7月/ 嘉義市 ","         －","         3","         －"
"107年 7月/ 金門縣 ","         －","         －","         －"
"107年 7月/ 連江縣 ","         －","         －","         －"
"107年 8月/ 新北市 ","        36","        41","         －"
"107年 8月/ 臺北市 ","        12","         8","         －"
"107年 8月/ 桃園市 ","        43","        29","         －"
"107年 8月/ 臺中市 ","        17","        73","         －"
"107年 8月/ 臺南市 ","         8","         7","         －"
"107年 8月/ 高雄市 ","        10","         6","         －"
"107年 8月/ 宜蘭縣 ","         5","         2","         －"
"107年 8月/ 新竹縣 ","        20","        12","         －"
"107年 8月/ 苗栗縣 ","         3","         3","         －"
"107年 8月/ 彰化縣 ","         6","         7","         －"
"107年 8月/ 南投縣 ","         2","         3","         －"
"107年 8月/ 雲林縣 ","         7","         6","         －"
"107年 8月/ 嘉義縣 ","         2","         4","         －"
"107年 8月/ 屏東縣 ","         6","         9","         －"
"107年 8月/ 臺東縣 ","         －","         －","         －"
"107年 8月/ 花蓮縣 ","        10","        12","         －"
"107年 8月/ 澎湖縣 ","         －","         －","         －"
"107年 8月/ 基隆市 ","         3","         2","         －"
"107年 8月/ 新竹市 ","         5","         5","         －"
"107年 8月/ 嘉義市 ","         －","         －","         －"
"107年 8月/ 金門縣 ","         －","         －","         －"
"107年 8月/ 連江縣 ","         －","         －","         －"
"107年 9月/ 新北市 ","        23","        23","         －"
"107年 9月/ 臺北市 ","         4","         7","         －"
"107年 9月/ 桃園市 ","        53","        36","         －"
"107年 9月/ 臺中市 ","        10","        10","         －"
"107年 9月/ 臺南市 ","         2","         3","         －"
"107年 9月/ 高雄市 ","        16","         6","         －"
"107年 9月/ 宜蘭縣 ","         3","         9","         －"
"107年 9月/ 新竹縣 ","        24","        11","         －"
"107年 9月/ 苗栗縣 ","         3","         2","         －"
"107年 9月/ 彰化縣 ","         7","         9","         －"
"107年 9月/ 南投縣 ","         －","         2","         －"
"107年 9月/ 雲林縣 ","         9","         8","         －"
"107年 9月/ 嘉義縣 ","         1","         2","         －"
"107年 9月/ 屏東縣 ","        12","         9","         －"
"107年 9月/ 臺東縣 ","         －","         －","         －"
"107年 9月/ 花蓮縣 ","         －","         2","         －"
"107年 9月/ 澎湖縣 ","         －","         －","         －"
"107年 9月/ 基隆市 ","         －","         －","         －"
"107年 9月/ 新竹市 ","         3","         7","         －"
"107年 9月/ 嘉義市 ","         1","         －","         －"
"107年 9月/ 金門縣 ","         －","         －","         －"
"107年 9月/ 連江縣 ","         －","         －","         －"
"107年 10月/ 新北市 ","        14","        21","         －"
"107年 10月/ 臺北市 ","         5","         6","         －"
"107年 10月/ 桃園市 ","        47","        43","         －"
"107年 10月/ 臺中市 ","        13","        12","         －"
"107年 10月/ 臺南市 ","         5","         1","         －"
"107年 10月/ 高雄市 ","        28","        23","         －"
"107年 10月/ 宜蘭縣 ","         4","         5","         －"
"107年 10月/ 新竹縣 ","        17","        10","         －"
"107年 10月/ 苗栗縣 ","         4","         2","         －"
"107年 10月/ 彰化縣 ","         5","         4","         －"
"107年 10月/ 南投縣 ","         －","         1","         －"
"107年 10月/ 雲林縣 ","         7","         8","         －"
"107年 10月/ 嘉義縣 ","         3","         6","         －"
"107年 10月/ 屏東縣 ","        10","         9","         －"
"107年 10月/ 臺東縣 ","         －","         －","         －"
"107年 10月/ 花蓮縣 ","         2","         3","         －"
"107年 10月/ 澎湖縣 ","         －","         －","         －"
"107年 10月/ 基隆市 ","         －","         1","         －"
"107年 10月/ 新竹市 ","         3","         2","         －"
"107年 10月/ 嘉義市 ","         4","         1","         －"
"107年 10月/ 金門縣 ","         －","         －","         －"
"107年 10月/ 連江縣 ","         －","         －","         －"
"107年 11月/ 新北市 ","        18","        18","         －"
"107年 11月/ 臺北市 ","         6","         3","         －"
"107年 11月/ 桃園市 ","        26","        32","         －"
"107年 11月/ 臺中市 ","        11","        14","         －"
"107年 11月/ 臺南市 ","         9","         3","         －"
"107年 11月/ 高雄市 ","        15","        17","         －"
"107年 11月/ 宜蘭縣 ","         6","         6","         －"
"107年 11月/ 新竹縣 ","        21","        13","         －"
"107年 11月/ 苗栗縣 ","         5","         2","         －"
"107年 11月/ 彰化縣 ","         5","         5","         －"
"107年 11月/ 南投縣 ","         2","         －","         －"
"107年 11月/ 雲林縣 ","         2","         3","         －"
"107年 11月/ 嘉義縣 ","         2","         3","         －"
"107年 11月/ 屏東縣 ","        10","         4","         －"
"107年 11月/ 臺東縣 ","         2","         1","         －"
"107年 11月/ 花蓮縣 ","         4","         5","         －"
"107年 11月/ 澎湖縣 ","         －","         －","         －"
"107年 11月/ 基隆市 ","         1","         －","         －"
"107年 11月/ 新竹市 ","         2","         4","         －"
"107年 11月/ 嘉義市 ","         1","         －","         －"
"107年 11月/ 金門縣 ","         －","         －","         －"
"107年 11月/ 連江縣 ","         －","         －","         －"
"107年 12月/ 新北市 ","        26","        35","         －"
"107年 12月/ 臺北市 ","        12","         7","         －"
"107年 12月/ 桃園市 ","        53","        35","         －"
"107年 12月/ 臺中市 ","        24","        23","         －"
"107年 12月/ 臺南市 ","        10","         7","         －"
"107年 12月/ 高雄市 ","        21","        21","         －"
"107年 12月/ 宜蘭縣 ","         2","         4","         －"
"107年 12月/ 新竹縣 ","         7","         6","         －"
"107年 12月/ 苗栗縣 ","         3","         1","         －"
"107年 12月/ 彰化縣 ","         8","         5","         －"
"107年 12月/ 南投縣 ","         4","         1","         －"
"107年 12月/ 雲林縣 ","         4","         3","         －"
"107年 12月/ 嘉義縣 ","         3","         1","         －"
"107年 12月/ 屏東縣 ","         7","         4","         －"
"107年 12月/ 臺東縣 ","         1","         1","         －"
"107年 12月/ 花蓮縣 ","         6","         6","         －"
"107年 12月/ 澎湖縣 ","         －","         －","         －"
"107年 12月/ 基隆市 ","         1","         1","         －"
"107年 12月/ 新竹市 ","         －","         －","         －"
"107年 12月/ 嘉義市 ","         －","         1","         －"
"107年 12月/ 金門縣 ","         －","         －","         －"
"107年 12月/ 連江縣 ","         －","         －","         －"
"108年 1月/ 新北市 ","        19","        24","         －"
"108年 1月/ 臺北市 ","        13","        13","         －"
"108年 1月/ 桃園市 ","        50","        55","         －"
"108年 1月/ 臺中市 ","        13","         9","         －"
"108年 1月/ 臺南市 ","        14","         2","         －"
"108年 1月/ 高雄市 ","        13","        12","         －"
"108年 1月/ 宜蘭縣 ","         3","         4","         －"
"108年 1月/ 新竹縣 ","        19","        12","         －"
"108年 1月/ 苗栗縣 ","         3","         6","         －"
"108年 1月/ 彰化縣 ","         3","         5","         －"
"108年 1月/ 南投縣 ","         3","         2","         －"
"108年 1月/ 雲林縣 ","         5","         4","         －"
"108年 1月/ 嘉義縣 ","         1","         －","         －"
"108年 1月/ 屏東縣 ","         9","         7","         －"
"108年 1月/ 臺東縣 ","         1","         2","         －"
"108年 1月/ 花蓮縣 ","         4","         3","         －"
"108年 1月/ 澎湖縣 ","         －","         －","         －"
"108年 1月/ 基隆市 ","         －","         －","         －"
"108年 1月/ 新竹市 ","         －","         3","         －"
"108年 1月/ 嘉義市 ","         2","         －","         －"
"108年 1月/ 金門縣 ","         －","         －","         －"
"108年 1月/ 連江縣 ","         －","         －","         －"
"108年 2月/ 新北市 ","        11","        13","         －"
"108年 2月/ 臺北市 ","         2","         5","         －"
"108年 2月/ 桃園市 ","        21","        21","         －"
"108年 2月/ 臺中市 ","         7","         8","         －"
"108年 2月/ 臺南市 ","        13","         7","         －"
"108年 2月/ 高雄市 ","        15","        12","         －"
"108年 2月/ 宜蘭縣 ","         4","         2","         －"
"108年 2月/ 新竹縣 ","        12","        10","         －"
"108年 2月/ 苗栗縣 ","         －","         2","         －"
"108年 2月/ 彰化縣 ","         2","         5","         －"
"108年 2月/ 南投縣 ","         6","         4","         －"
"108年 2月/ 雲林縣 ","         3","         4","         －"
"108年 2月/ 嘉義縣 ","         2","         4","         －"
"108年 2月/ 屏東縣 ","         5","         5","         －"
"108年 2月/ 臺東縣 ","         －","         －","         －"
"108年 2月/ 花蓮縣 ","         －","         －","         －"
"108年 2月/ 澎湖縣 ","         －","         －","         －"
"108年 2月/ 基隆市 ","         1","         －","         －"
"108年 2月/ 新竹市 ","         2","         4","         －"
"108年 2月/ 嘉義市 ","         3","         －","         －"
"108年 2月/ 金門縣 ","         1","         1","         －"
"108年 2月/ 連江縣 ","         －","         －","         －"
"108年 3月/ 新北市 ","        22","        19","         －"
"108年 3月/ 臺北市 ","         1","         －","         －"
"108年 3月/ 桃園市 ","        27","        27","         －"
"108年 3月/ 臺中市 ","         9","         6","         －"
"108年 3月/ 臺南市 ","        11","         8","         －"
"108年 3月/ 高雄市 ","        14","        23","         －"
"108年 3月/ 宜蘭縣 ","         4","         5","         －"
"108年 3月/ 新竹縣 ","        16","        14","         －"
"108年 3月/ 苗栗縣 ","         2","         －","         －"
"108年 3月/ 彰化縣 ","         3","         1","         －"
"108年 3月/ 南投縣 ","         2","         3","         －"
"108年 3月/ 雲林縣 ","         1","         1","         －"
"108年 3月/ 嘉義縣 ","         3","         1","         －"
"108年 3月/ 屏東縣 ","         4","         5","         －"
"108年 3月/ 臺東縣 ","         1","         －","         －"
"108年 3月/ 花蓮縣 ","         1","         1","         －"
"108年 3月/ 澎湖縣 ","         －","         －","         －"
"108年 3月/ 基隆市 ","         3","         2","         －"
"108年 3月/ 新竹市 ","         3","         3","         －"
"108年 3月/ 嘉義市 ","         3","         －","         －"
"108年 3月/ 金門縣 ","         －","         －","         －"
"108年 3月/ 連江縣 ","         －","         －","         －"
"108年 4月/ 新北市 ","         8","        11","         －"
"108年 4月/ 臺北市 ","         2","         3","         －"
"108年 4月/ 桃園市 ","        15","         8","         －"
"108年 4月/ 臺中市 ","        11","        20","         －"
"108年 4月/ 臺南市 ","        10","         4","         －"
"108年 4月/ 高雄市 ","         7","         9","         －"
"108年 4月/ 宜蘭縣 ","         2","         2","         －"
"108年 4月/ 新竹縣 ","        10","        10","         －"
"108年 4月/ 苗栗縣 ","         2","         1","         －"
"108年 4月/ 彰化縣 ","         1","         1","         －"
"108年 4月/ 南投縣 ","         3","         2","         －"
"108年 4月/ 雲林縣 ","         6","        11","         －"
"108年 4月/ 嘉義縣 ","         3","         8","         －"
"108年 4月/ 屏東縣 ","         7","         3","         －"
"108年 4月/ 臺東縣 ","         －","         －","         －"
"108年 4月/ 花蓮縣 ","         2","         1","         －"
"108年 4月/ 澎湖縣 ","         －","         －","         －"
"108年 4月/ 基隆市 ","         1","         3","         －"
"108年 4月/ 新竹市 ","         3","         5","         －"
"108年 4月/ 嘉義市 ","         －","         1","         －"
"108年 4月/ 金門縣 ","         －","         －","         －"
"108年 4月/ 連江縣 ","         －","         －","         －"
"108年 5月/ 新北市 ","        15","        16","         －"
"108年 5月/ 臺北市 ","         3","         2","         －"
"108年 5月/ 桃園市 ","        38","        52","         －"
"108年 5月/ 臺中市 ","        13","        11","         －"
"108年 5月/ 臺南市 ","        10","         7","         －"
"108年 5月/ 高雄市 ","        15","        14","         －"
"108年 5月/ 宜蘭縣 ","         6","         6","         －"
"108年 5月/ 新竹縣 ","        12","        16","         －"
"108年 5月/ 苗栗縣 ","         －","         －","         －"
"108年 5月/ 彰化縣 ","         1","         3","         －"
"108年 5月/ 南投縣 ","         8","         8","         －"
"108年 5月/ 雲林縣 ","         1","         1","         －"
"108年 5月/ 嘉義縣 ","         2","         5","         －"
"108年 5月/ 屏東縣 ","         5","         6","         －"
"108年 5月/ 臺東縣 ","         1","         1","         －"
"108年 5月/ 花蓮縣 ","         2","         1","         －"
"108年 5月/ 澎湖縣 ","         －","         －","         －"
"108年 5月/ 基隆市 ","         1","         1","         －"
"108年 5月/ 新竹市 ","         3","         1","         －"
"108年 5月/ 嘉義市 ","         3","         －","         －"
"108年 5月/ 金門縣 ","         1","         1","         －"
"108年 5月/ 連江縣 ","         －","         －","         －"
"108年 6月/ 新北市 ","        18","        20","         －"
"108年 6月/ 臺北市 ","         2","         1","         －"
"108年 6月/ 桃園市 ","        18","        29","         －"
"108年 6月/ 臺中市 ","         8","         8","         －"
"108年 6月/ 臺南市 ","        12","         4","         －"
"108年 6月/ 高雄市 ","        14","        10","         －"
"108年 6月/ 宜蘭縣 ","         2","         2","         －"
"108年 6月/ 新竹縣 ","         7","         6","         －"
"108年 6月/ 苗栗縣 ","         2","         3","         －"
"108年 6月/ 彰化縣 ","         5","         1","         －"
"108年 6月/ 南投縣 ","         3","         4","         －"
"108年 6月/ 雲林縣 ","         －","         1","         －"
"108年 6月/ 嘉義縣 ","         －","         －","         －"
"108年 6月/ 屏東縣 ","         4","         7","         －"
"108年 6月/ 臺東縣 ","         －","         －","         －"
"108年 6月/ 花蓮縣 ","         1","         2","         －"
"108年 6月/ 澎湖縣 ","         －","         －","         －"
"108年 6月/ 基隆市 ","         1","         1","         －"
"108年 6月/ 新竹市 ","         1","         1","         －"
"108年 6月/ 嘉義市 ","         2","         －","         －"
"108年 6月/ 金門縣 ","         －","         －","         －"
"108年 6月/ 連江縣 ","         －","         －","         －"
"108年 7月/ 新北市 ","        11","        15","         －"
"108年 7月/ 臺北市 ","         6","         4","         －"
"108年 7月/ 桃園市 ","        12","        14","         －"
"108年 7月/ 臺中市 ","         8","         4","         －"
"108年 7月/ 臺南市 ","        13","         8","         －"
"108年 7月/ 高雄市 ","        21","        14","         －"
"108年 7月/ 宜蘭縣 ","        13","        13","         －"
"108年 7月/ 新竹縣 ","        12","        11","         －"
"108年 7月/ 苗栗縣 ","         3","         1","         －"
"108年 7月/ 彰化縣 ","         4","         5","         －"
"108年 7月/ 南投縣 ","         2","         3","         －"
"108年 7月/ 雲林縣 ","         1","         1","         －"
"108年 7月/ 嘉義縣 ","         1","         －","         －"
"108年 7月/ 屏東縣 ","         5","         4","         －"
"108年 7月/ 臺東縣 ","         －","         －","         －"
"108年 7月/ 花蓮縣 ","         1","         1","         －"
"108年 7月/ 澎湖縣 ","         －","         －","         －"
"108年 7月/ 基隆市 ","         －","         －","         －"
"108年 7月/ 新竹市 ","         3","         2","         －"
"108年 7月/ 嘉義市 ","         1","         －","         －"
"108年 7月/ 金門縣 ","         －","         －","         －"
"108年 7月/ 連江縣 ","         －","         －","         －"
"108年 8月/ 新北市 ","        13","        13","         －"
"108年 8月/ 臺北市 ","         4","         5","         －"
"108年 8月/ 桃園市 ","        28","        23","         －"
"108年 8月/ 臺中市 ","        12","        17","         －"
"108年 8月/ 臺南市 ","         5","         6","         －"
"108年 8月/ 高雄市 ","        10","         6","         －"
"108年 8月/ 宜蘭縣 ","        13","        14","         －"
"108年 8月/ 新竹縣 ","        10","         6","         －"
"108年 8月/ 苗栗縣 ","        12","         8","         －"
"108年 8月/ 彰化縣 ","         5","         3","         －"
"108年 8月/ 南投縣 ","         3","         1","         －"
"108年 8月/ 雲林縣 ","         2","         3","         －"
"108年 8月/ 嘉義縣 ","         －","         －","         －"
"108年 8月/ 屏東縣 ","         2","         4","         －"
"108年 8月/ 臺東縣 ","         －","         －","         －"
"108年 8月/ 花蓮縣 ","         2","         2","         －"
"108年 8月/ 澎湖縣 ","         －","         －","         －"
"108年 8月/ 基隆市 ","         －","         1","         －"
"108年 8月/ 新竹市 ","         2","         4","         －"
"108年 8月/ 嘉義市 ","         1","         －","         －"
"108年 8月/ 金門縣 ","         －","         －","         －"
"108年 8月/ 連江縣 ","         －","         －","         －"
"108年 9月/ 新北市 ","        12","        13","         －"
"108年 9月/ 臺北市 ","         6","         1","         －"
"108年 9月/ 桃園市 ","        23","        29","         －"
"108年 9月/ 臺中市 ","        12","        11","         －"
"108年 9月/ 臺南市 ","         3","         3","         －"
"108年 9月/ 高雄市 ","        16","        20","         －"
"108年 9月/ 宜蘭縣 ","         2","         4","         －"
"108年 9月/ 新竹縣 ","         5","         3","         －"
"108年 9月/ 苗栗縣 ","         5","         3","         －"
"108年 9月/ 彰化縣 ","         6","         4","         －"
"108年 9月/ 南投縣 ","         4","         1","         －"
"108年 9月/ 雲林縣 ","         5","         4","         －"
"108年 9月/ 嘉義縣 ","         －","         －","         －"
"108年 9月/ 屏東縣 ","         4","         5","         －"
"108年 9月/ 臺東縣 ","         －","         －","         －"
"108年 9月/ 花蓮縣 ","         1","         1","         －"
"108年 9月/ 澎湖縣 ","         1","         1","         －"
"108年 9月/ 基隆市 ","         1","         －","         －"
"108年 9月/ 新竹市 ","         3","         2","         －"
"108年 9月/ 嘉義市 ","         －","         －","         －"
"108年 9月/ 金門縣 ","         1","         1","         －"
"108年 9月/ 連江縣 ","         －","         －","         －"
"108年 10月/ 新北市 ","        10","        13","         －"
"108年 10月/ 臺北市 ","         9","        11","         －"
"108年 10月/ 桃園市 ","        26","        24","         －"
"108年 10月/ 臺中市 ","         5","         6","         －"
"108年 10月/ 臺南市 ","         2","         3","         －"
"108年 10月/ 高雄市 ","         5","         7","         －"
"108年 10月/ 宜蘭縣 ","         4","         4","         －"
"108年 10月/ 新竹縣 ","        12","        13","         －"
"108年 10月/ 苗栗縣 ","         －","         1","         －"
"108年 10月/ 彰化縣 ","         5","         2","         －"
"108年 10月/ 南投縣 ","         6","         6","         －"
"108年 10月/ 雲林縣 ","         7","         3","         －"
"108年 10月/ 嘉義縣 ","         3","         1","         －"
"108年 10月/ 屏東縣 ","         4","         3","         －"
"108年 10月/ 臺東縣 ","         －","         －","         －"
"108年 10月/ 花蓮縣 ","         －","         －","         －"
"108年 10月/ 澎湖縣 ","         1","         1","         －"
"108年 10月/ 基隆市 ","         －","         －","         －"
"108年 10月/ 新竹市 ","         1","         4","         －"
"108年 10月/ 嘉義市 ","         －","         －","         －"
"108年 10月/ 金門縣 ","         －","         －","         －"
"108年 10月/ 連江縣 ","         －","         －","         －"
"108年 11月/ 新北市 ","        23","        29","         －"
"108年 11月/ 臺北市 ","         5","         5","         －"
"108年 11月/ 桃園市 ","        32","        22","         －"
"108年 11月/ 臺中市 ","         9","         9","         －"
"108年 11月/ 臺南市 ","         3","         1","         －"
"108年 11月/ 高雄市 ","         3","         2","         －"
"108年 11月/ 宜蘭縣 ","         2","         －","         －"
"108年 11月/ 新竹縣 ","        14","        10","         －"
"108年 11月/ 苗栗縣 ","         5","         5","         －"
"108年 11月/ 彰化縣 ","         3","         2","         －"
"108年 11月/ 南投縣 ","         9","         8","         －"
"108年 11月/ 雲林縣 ","         7","         5","         －"
"108年 11月/ 嘉義縣 ","         1","         －","         －"
"108年 11月/ 屏東縣 ","         7","         7","         －"
"108年 11月/ 臺東縣 ","         －","         －","         －"
"108年 11月/ 花蓮縣 ","         2","         2","         －"
"108年 11月/ 澎湖縣 ","         －","         －","         －"
"108年 11月/ 基隆市 ","         1","         －","         －"
"108年 11月/ 新竹市 ","         3","         1","         －"
"108年 11月/ 嘉義市 ","         －","         －","         －"
"108年 11月/ 金門縣 ","         －","         －","         －"
"108年 11月/ 連江縣 ","         －","         －","         －"
"108年 12月/ 新北市 ","        14","        14","         －"
"108年 12月/ 臺北市 ","         3","         3","         －"
"108年 12月/ 桃園市 ","        37","        16","         －"
"108年 12月/ 臺中市 ","         5","         6","         －"
"108年 12月/ 臺南市 ","         9","         5","         －"
"108年 12月/ 高雄市 ","         7","         8","         －"
"108年 12月/ 宜蘭縣 ","         4","         2","         －"
"108年 12月/ 新竹縣 ","        10","         8","         －"
"108年 12月/ 苗栗縣 ","         2","         2","         －"
"108年 12月/ 彰化縣 ","         8","         5","         －"
"108年 12月/ 南投縣 ","         5","         5","         －"
"108年 12月/ 雲林縣 ","         －","         －","         －"
"108年 12月/ 嘉義縣 ","         5","         1","         －"
"108年 12月/ 屏東縣 ","         6","         4","         －"
