area,population_density,statistic_yyy,site_id,people_total
160.001,31,107,屏東縣春日鄉,4909
301.0018,16,107,屏東縣獅子鄉,4954
181.8366,27,107,屏東縣牡丹鄉,4981
109.7691,962,107,臺東縣臺東市,105573
143.9939,98,107,臺東縣成功鎮,14059
58.7351,148,107,臺東縣關山鎮,8703
412.6871,42,107,臺東縣卑南鄉,17269
69.1454,87,107,臺東縣大武鄉,6046
96.6523,115,107,臺東縣太麻里鄉,11147
210.1908,40,107,臺東縣東河鄉,8479
155.1868,46,107,臺東縣長濱鄉,7182
89.698,88,107,臺東縣鹿野鄉,7875
82.6854,99,107,臺東縣池上鄉,8199
15.0919,271,107,臺東縣綠島鄉,4097
455.8805,8,107,臺東縣延平鄉,3628
880.0382,5,107,臺東縣海端鄉,4186
306.4454,12,107,臺東縣達仁鄉,3580
380.6635,10,107,臺東縣金峰鄉,3739
48.3892,107,107,臺東縣蘭嶼鄉,5157
29.4095,3531,107,花蓮縣花蓮市,103841
120.5181,90,107,花蓮縣鳳林鎮,10846
252.3719,95,107,花蓮縣玉里鎮,24007
29.4095,685,107,花蓮縣新城鄉,20159
65.2582,1275,107,花蓮縣吉安鄉,83221
218.4448,82,107,花蓮縣壽豐鄉,17949
157.11,81,107,花蓮縣光復鄉,12789
162.4332,29,107,花蓮縣豐濱鄉,4752
135.5862,86,107,花蓮縣瑞穗鄉,11668
176.3705,58,107,花蓮縣富里鄉,10277
1641.8555,10,107,花蓮縣秀林鄉,15939
618.491,10,107,花蓮縣萬榮鄉,6419
1021.313,6,107,花蓮縣卓溪鄉,6101
33.9918,1842,107,澎湖縣馬公市,62610
33.3008,438,107,澎湖縣湖西鄉,14594
20.0875,489,107,澎湖縣白沙鄉,9827
18.7148,446,107,澎湖縣西嶼鄉,8349
13.7824,380,107,澎湖縣望安鄉,5235
6.9868,547,107,澎湖縣七美鄉,3825
10.2118,5060,107,基隆市中正區,51670
56.2659,956,107,基隆市七堵區,53782
22.8283,1692,107,基隆市暖暖區,38619
4.2335,10330,107,基隆市仁愛區,43730
10.5238,4504,107,基隆市中山區,47398
18.025,4566,107,基隆市安樂區,82294
10.6706,4935,107,基隆市信義區,52662
33.5768,6420,107,新竹市東區,215566
15.7267,9645,107,新竹市北區,151679
54.8491,1429,107,新竹市香山區,78390
