statistic_yyy,site_id,people_total
107,屏東縣內埔鄉,54115
107,屏東縣竹田鄉,17119
107,屏東縣新埤鄉,9981
107,屏東縣枋寮鄉,24323
107,屏東縣新園鄉,34880
107,屏東縣崁頂鄉,15519
107,屏東縣林邊鄉,17795
107,屏東縣南州鄉,10639
107,屏東縣佳冬鄉,19121
107,屏東縣琉球鄉,12364
107,屏東縣車城鄉,8577
107,屏東縣滿州鄉,7968
107,屏東縣枋山鄉,5498
107,屏東縣三地門鄉,7697
107,屏東縣霧臺鄉,3354
107,屏東縣瑪家鄉,6829
107,屏東縣泰武鄉,5392
107,屏東縣來義鄉,7433
107,屏東縣春日鄉,4909
107,屏東縣獅子鄉,4954
107,屏東縣牡丹鄉,4981
107,臺東縣臺東市,105573
107,臺東縣成功鎮,14059
107,臺東縣關山鎮,8703
107,臺東縣卑南鄉,17269
107,臺東縣大武鄉,6046
107,臺東縣太麻里鄉,11147
107,臺東縣東河鄉,8479
107,臺東縣長濱鄉,7182
107,臺東縣鹿野鄉,7875
107,臺東縣池上鄉,8199
107,臺東縣綠島鄉,4097
107,臺東縣延平鄉,3628
107,臺東縣海端鄉,4186
107,臺東縣達仁鄉,3580
107,臺東縣金峰鄉,3739
107,臺東縣蘭嶼鄉,5157
107,花蓮縣花蓮市,103841
107,花蓮縣鳳林鎮,10846
107,花蓮縣玉里鎮,24007
107,花蓮縣新城鄉,20159
107,花蓮縣吉安鄉,83221
107,花蓮縣壽豐鄉,17949
107,花蓮縣光復鄉,12789
107,花蓮縣豐濱鄉,4752
107,花蓮縣瑞穗鄉,11668
107,花蓮縣富里鄉,10277
107,花蓮縣秀林鄉,15939
107,花蓮縣萬榮鄉,6419
107,花蓮縣卓溪鄉,6101
107,澎湖縣馬公市,62610
107,澎湖縣湖西鄉,14594
107,澎湖縣白沙鄉,9827
107,澎湖縣西嶼鄉,8349
107,澎湖縣望安鄉,5235
107,澎湖縣七美鄉,3825
107,基隆市中正區,51670
107,基隆市七堵區,53782
107,基隆市暖暖區,38619
107,基隆市仁愛區,43730
107,基隆市中山區,47398
107,基隆市安樂區,82294
107,基隆市信義區,52662
107,新竹市東區,215566
107,新竹市北區,151679
107,新竹市香山區,78390
107,嘉義市東區,121162
107,嘉義市西區,147460
107,金門縣金城鎮,43325
107,金門縣金湖鎮,29856
107,金門縣金沙鎮,20784
107,金門縣金寧鄉,31765
107,金門縣烈嶼鄉,12861
107,金門縣烏坵鄉,682
107,連江縣南竿鄉,7663
107,連江縣北竿鄉,2425
107,連江縣莒光鄉,1618
107,連江縣東引鄉,1350
108,新北市板橋區,556897
108,新北市三重區,386336
108,新北市中和區,413069
108,新北市永和區,220595
108,新北市新莊區,420473
108,新北市新店區,303445
108,新北市樹林區,183926
108,新北市鶯歌區,86869
108,新北市三峽區,116478
108,新北市淡水區,178610
108,新北市汐止區,203429
108,新北市瑞芳區,39536
108,新北市土城區,237696
108,新北市蘆洲區,201883
108,新北市五股區,88000
108,新北市泰山區,78751
108,新北市林口區,115582
108,新北市深坑區,23725
108,新北市石碇區,7629
108,新北市坪林區,6689
108,新北市三芝區,22768
108,新北市石門區,11834
108,新北市八里區,39531
108,新北市平溪區,4546
108,新北市雙溪區,8665
108,新北市貢寮區,12033
108,新北市金山區,21396
108,新北市萬里區,21872
108,新北市烏來區,6433
108,臺北市松山區,204193
108,臺北市信義區,220021
108,臺北市大安區,307631
108,臺北市中山區,227387
108,臺北市中正區,158014
108,臺北市大同區,126043
108,臺北市萬華區,187076
108,臺北市文山區,271806
108,臺北市南港區,120297
108,臺北市內湖區,285795
108,臺北市士林區,283459
108,臺北市北投區,253319
108,桃園市桃園區,452824
108,桃園市中壢區,417380
108,桃園市大溪區,95550
108,桃園市楊梅區,173049
108,桃園市蘆竹區,166406
108,桃園市大園區,93078
108,桃園市龜山區,162921
108,桃園市八德區,205974
108,桃園市龍潭區,124031
108,桃園市平鎮區,228436
108,桃園市新屋區,49256
108,桃園市觀音區,67956
108,桃園市復興區,12176
108,臺中市中區,18390
108,臺中市東區,75943
108,臺中市南區,126571
108,臺中市西區,115273
108,臺中市北區,147391
108,臺中市西屯區,230501
108,臺中市南屯區,173532
108,臺中市北屯區,283621
108,臺中市豐原區,166875
108,臺中市東勢區,49773
108,臺中市大甲區,76822
108,臺中市清水區,87587
108,臺中市沙鹿區,94755
108,臺中市梧棲區,58921
108,臺中市后里區,54666
108,臺中市神岡區,65679
108,臺中市潭子區,109324
108,臺中市大雅區,95772
108,臺中市新社區,24289
108,臺中市石岡區,14758
108,臺中市外埔區,32224
108,臺中市大安區,19111
108,臺中市烏日區,75610
108,臺中市大肚區,57085
108,臺中市龍井區,78027
108,臺中市霧峰區,65419
108,臺中市太平區,193729
108,臺中市大里區,212711
108,臺中市和平區,10902
108,臺南市新營區,76969
108,臺南市鹽水區,25223
108,臺南市白河區,27688
108,臺南市柳營區,21068
108,臺南市後壁區,23001
108,臺南市東山區,20449
108,臺南市麻豆區,43993
108,臺南市下營區,23686
108,臺南市六甲區,21886
108,臺南市官田區,21371
108,臺南市大內區,9391
108,臺南市佳里區,59089
108,臺南市學甲區,25501
108,臺南市西港區,24554
108,臺南市七股區,22299
108,臺南市將軍區,19353
108,臺南市北門區,10830
108,臺南市新化區,43254
108,臺南市善化區,50018
108,臺南市新市區,37269
108,臺南市安定區,30413
108,臺南市山上區,7199
108,臺南市玉井區,13769
108,臺南市楠西區,9319
108,臺南市南化區,8583
108,臺南市左鎮區,4676
108,臺南市仁德區,76094
108,臺南市歸仁區,68135
108,臺南市關廟區,34202
108,臺南市龍崎區,3900
108,臺南市永康區,235699
108,臺南市東區,186009
108,臺南市南區,124696
108,臺南市北區,131480
108,臺南市安南區,194228
108,臺南市安平區,67119
108,臺南市中西區,78493
108,高雄市鹽埕區,23889
108,高雄市鼓山區,141055
108,高雄市左營區,197728
108,高雄市楠梓區,187999
108,高雄市三民區,339269
108,高雄市新興區,51014
